0	30	0	0	
565	99	30	0	
359	27	0	0	
1353	80	0	0	
975	13	0	0	
617	138	0	0	
177	124	0	0	
138	110	0	0	
74	97	0	0	
161	21	0	0	
495	4	0	0	
206	88	0	0	
866	50	0	0	
77	68	0	0	
740	325	0	0	
95	144	0	0	
124	53	144	0	
121	19	197	0	
62	100	216	0	
237	10	316	0	
996	6	0	0	
280	385	0	0	
1819	20	0	0	
110	135	0	0	
546	23	0	0	
255	72	0	0	
1812	23	0	0	
244	91	0	0	
197	156	0	0	
1425	379	0	0	
665	227	0	0	
221	92	227	0	
64	132	319	0	
98	8	451	0	
916	159	232	0	
1177	57	0	0	
992	260	0	0	
167	20	0	0	
1281	127	0	0	
1179	22	0	0	
1187	110	0	0	
181	61	0	0	
291	43	61	0	
493	8	104	0	
1869	127	8	0	
1260	131	0	0	
797	91	0	0	
374	132	91	0	
520	320	132	0	
285	121	452	0	
1439	15	121	0	
621	47	136	0	
1002	57	62	0	
53	157	119	0	
1494	68	214	0	
1488	79	68	0	
104	98	147	0	
53	86	245	0	
39	285	331	0	
1639	27	469	0	
515	83	496	0	
869	185	481	0	
87	358	666	0	
1633	27	938	0	
660	277	680	0	
770	43	930	0	
110	12	973	0	
1772	180	717	0	
1606	87	539	0	
2111	135	322	0	
363	86	457	0	
185	24	500	0	
905	59	524	0	
352	54	391	0	
2127	35	223	0	
54	3	258	0	
39	13	261	0	
537	360	274	0	
285	207	548	0	
203	72	755	0	
423	219	827	0	
272	6	1046	0	
284	31	915	0	
2548	109	535	0	
180	8	644	0	
1339	19	373	0	
2802	2	136	0	
1695	132	2	0	
1345	8	0	0	
733	68	0	0	
586	58	0	0	
816	179	0	0	
2074	190	0	0	
188	29	0	0	
98	43	29	0	
139	628	72	0	
1019	125	671	0	
729	110	796	0	
1899	278	235	0	
527	125	388	0	
1258	66	403	0	
857	114	191	0	
287	16	305	0	
562	80	196	0	
341	258	276	0	
1042	35	468	0	
181	132	503	0	
575	60	521	0	
336	60	581	0	
42	69	641	0	
2248	5	356	0	
1485	7	326	0	
2066	189	141	0	
1359	51	201	0	
532	22	252	0	
161	9	274	0	
1109	254	82	0	
1829	35	0	0	
871	145	0	0	
1336	35	0	0	
61	3	35	0	
1419	28	3	0	
1369	36	0	0	
433	97	0	0	
196	17	0	0	
1115	83	0	0	
510	177	0	0	
571	57	177	0	
1489	6	0	0	
602	147	6	0	
45	34	153	0	
606	18	34	0	
1961	110	0	0	
24465	98	0	0	
44	35	98	0	
38	16	133	0	
39	148	149	0	
41	57	297	0	
39	102	354	0	
37	2	456	0	
37	111	458	0	
38	35	569	0	
37	279	604	0	
38	3	883	0	
37	120	886	0	
38	124	1006	0	
38	333	1130	0	
38	40	1463	0	
38	94	1503	0	
37	313	1597	0	
38	31	1910	0	
37	402	1941	0	
38	7	2343	0	
37	102	2350	0	
38	152	2452	0	
37	33	2604	0	
37	98	2637	0	
38	118	2735	0	
37	131	2853	0	
38	14	2984	0	
37	22	2998	0	
1257	164	2887	0	
320	340	3051	0	
985	49	3227	0	
54	260	3276	0	
902	231	3479	0	
110	139	3710	0	
56	91	3849	0	
81	20	3940	0	
1226	122	3858	0	
1331	5	3867	0	
914	168	3837	0	
429	10	3726	0	
964	191	3613	0	
1308	254	3680	0	
970	111	3601	0	
97	324	3712	0	
828	186	3996	0	
1169	103	4088	0	
1115	55	3878	0	
128	166	3933	0	
643	155	4099	0	
731	147	4223	0	
523	57	3968	0	
1466	196	3916	0	
1146	15	3960	0	
536	14	3942	0	
498	1	3956	0	
140	68	3957	0	
54	277	4025	0	
338	12	4204	0	
158	89	4216	0	
108	179	4305	0	
66	33	4484	0	
682	6	4517	0	
2266	170	4238	0	
492	54	4408	0	
262	33	4462	0	
1064	78	4331	0	
1511	34	4020	0	
1161	1	3794	0	
571	473	3795	0	
389	241	4037	0	
5612	93	3532	0	
1281	43	3371	0	
55	91	3414	0	
1655	87	3070	0	
1189	632	2971	0	
219	43	3603	0	
85	67	3646	0	
841	88	3610	0	
139	19	3698	0	
111	12	3717	0	
124	99	3729	0	
52	8	3828	0	
1011	40	3781	0	
149	68	3821	0	
209	6	3723	0	
669	12	3729	0	
266	47	3586	0	
139	39	3633	0	
736	39	3672	0	
611	150	3564	0	
67	30	3714	0	
3408	298	3393	0	
1070	142	3414	0	
495	5	3455	0	
679	24	3460	0	
656	69	3305	0	
2945	26	3111	0	
925	130	3104	0	
592	56	3234	0	
2287	86	3178	0	
569	69	2790	0	
1208	193	2618	0	
734	81	2718	0	
1076	83	2756	0	
378	22	2839	0	
54	31	2861	0	
880	420	2801	0	
189	90	3221	0	
2574	163	2592	0	
3691	7	2427	0	
121	320	2434	0	
890	100	2706	0	
311	5	2806	0	
373	116	2811	0	
106	55	2859	0	
173	67	2914	0	
321	126	2981	0	
177	39	3107	0	
907	37	3081	0	
862	187	3079	0	
1507	50	3227	0	
64	14	3277	0	
656	196	3141	0	
1011	59	3307	0	
1035	122	3068	0	
1261	128	3048	0	
43	75	3176	0	
293	443	3251	0	
571	149	3596	0	
146	98	3745	0	
492	33	3843	0	
571	56	3850	0	
709	30	3776	0	
659	55	3806	0	
53	10	3861	0	
548	93	3815	0	
838	82	3822	0	
868	79	3904	0	
807	340	3914	0	
437	112	4061	0	
140	53	4173	0	
56	60	4226	0	
3529	308	4100	0	
180	217	4408	0	
779	325	4594	0	
1470	24	4499	0	
1459	29	4270	0	
2353	14	3872	0	
54	49	3886	0	
1468	114	3814	0	
99	74	3928	0	
597	357	3947	0	
56	79	4304	0	
1886	130	4190	0	
652	393	4320	0	
922	24	4674	0	
95	28	4698	0	
985	113	4689	0	
521	241	4615	0	
88	31	4856	0	
1409	18	4837	0	
54	125	4855	0	
185	226	4980	0	
132	31	4996	0	
1356	17	4968	0	
113	175	4985	0	
155	69	5160	0	
466	220	5107	0	
1785	59	5199	0	
785	74	5183	0	
56	20	5257	0	
641	45	4834	0	
277	54	4879	0	
765	56	4784	0	
234	125	4840	0	
1037	44	4867	0	
3100	4	4792	0	
282	5	4796	0	
1587	3	4746	0	
334	17	4646	0	
115	51	4663	0	
54	173	4714	0	
719	211	4805	0	
647	263	5016	0	
555	26	5200	0	
54	19	5226	0	
292	66	5245	0	
1441	151	4971	0	
660	190	5010	0	
1712	24	5087	0	
1192	172	4803	0	
157	36	4975	0	
1141	24	4794	0	
1095	39	4493	0	
539	20	4508	0	
888	245	4499	0	
716	115	4681	0	
100	22	4796	0	
387	41	4818	0	
1578	112	4671	0	
324	99	4783	0	
1038	93	4525	0	
220	187	4618	0	
520	204	4726	0	
625	40	4930	0	
1719	48	4447	0	
2423	137	4330	0	
888	76	4226	0	
575	379	4271	0	
720	6	4650	0	
1254	52	4287	0	
56	21	4339	0	
577	26	4360	0	
53	10	4386	0	
424	268	4365	0	
1153	56	4441	0	
678	204	4497	0	
272	15	4632	0	
821	89	4647	0	
1268	36	4457	0	
1316	93	4419	0	
762	28	4447	0	
522	9	4475	0	
1597	107	4430	0	
771	26	4481	0	
261	59	4507	0	
639	46	4441	0	
772	11	4443	0	
263	69	4454	0	
3309	110	4270	0	
404	90	4380	0	
134	324	4259	0	
1942	69	4320	0	
693	116	4363	0	
66	142	4479	0	
444	98	4536	0	
2089	154	4293	0	
536	201	4447	0	
53	656	4648	0	
41	39	5304	0	
568	162	5319	0	
690	112	5481	0	
999	115	5421	0	
410	20	5500	0	
1151	44	5496	0	
3072	523	5121	0	
599	94	5644	0	
53	29	5738	0	
41	113	5767	0	
102	13	5880	0	
405	19	5830	0	
520	319	5849	0	
979	115	6056	0	
295	32	6171	0	
1269	28	6011	0	
320	15	6039	0	
1243	44	5867	0	
828	35	5707	0	
120	93	5742	0	
714	118	5795	0	
805	29	5913	0	
624	119	5894	0	
197	278	6013	0	
608	48	6154	0	
138	162	6202	0	
1837	4	5909	0	
1510	36	5855	0	
998	39	5844	0	
54	151	5883	0	
48	91	6034	0	
159	108	6125	0	
904	113	5955	0	
864	17	6012	0	
448	55	6029	0	
963	299	5880	0	
59	77	6179	0	
41	43	6256	0	
966	277	6195	0	
211	24	6472	0	
2453	86	6339	0	
191	65	6425	0	
500	63	6490	0	
1184	96	6437	0	
1486	13	6448	0	
54	200	6461	0	
899	33	6615	0	
422	58	6648	0	
1009	92	6626	0	
307	84	6718	0	
161	333	6802	0	
829	43	7025	0	
1026	159	6978	0	
419	344	6813	0	
708	24	7157	0	
558	11	7112	0	
1075	36	7007	0	
1885	48	6803	0	
1066	330	6697	0	
425	74	7027	0	
1454	101	6900	0	
200	88	7001	0	
1582	23	6394	0	
162	112	6417	0	
198	30	6529	0	
592	10	6397	0	
228	376	6407	0	
326	105	6783	0	
774	44	6776	0	
371	164	6820	0	
1542	18	6805	0	
601	59	6823	0	
869	97	6359	0	
2293	11	6333	0	
852	101	6231	0	
3194	49	5866	0	
3292	185	5796	0	
432	29	5946	0	
865	164	5882	0	
551	265	6046	0	
366	12	6311	0	
1646	84	6176	0	
1034	41	6141	0	
1277	267	5904	0	
1629	123	5961	0	
418	21	6084	0	
281	1	6105	0	
407	134	6066	0	
129	46	6200	0	
129	56	6246	0	
70	18	6302	0	
276	52	6320	0	
1639	37	6182	0	
589	73	6219	0	
424	63	6201	0	
257	153	6264	0	
443	127	6417	0	
1057	76	6436	0	
1119	154	6399	0	
55	153	6553	0	
721	16	6634	0	
738	34	6351	0	
168	49	6385	0	
53	83	6434	0	
1082	29	6440	0	
1796	170	6149	0	
730	86	6319	0	
1590	73	6230	0	
556	18	6303	0	
535	16	6258	0	
1875	209	5965	0	
761	64	6174	0	
158	69	6205	0	
98	52	6274	0	
2472	98	6176	0	
636	7	6190	0	
250	703	6197	0	
1178	82	6567	0	
771	30	6606	0	
2418	118	6133	0	
3214	67	6132	0	
871	594	5869	0	
749	56	6463	0	
55	38	6519	0	
